HGNC_approved_gene_symbol	HGNC_approved_gene_name	Pseudogene	UniProt_ID	Ensembl_ID	inSupplement	inQuickGO	dbTF_GO_annotation,_2019_(1347_genes)	Vaquerizas,_2009_(1536_genes)	TFCheckPoint,_Chawla,_2013_(1012_genes)	Saeed,_2014_(1572_genes)	Schmeier,_2017_(1750_genes)	TFClass,_Wingender,_2018_(1488_genes)	Lambert,_2018_(1630_TF_genes)	HumanTFDB,_Hu_et_al,_2019_(1637_genes)	Number_of_dbTF_lists	HT-SELEX,_Yin,_2017_(541_genes)_	PANTHER_family_ID	PANTHER_subfamily_ID	PANTHER_family_name
ZNF426	zinc_finger_protein_426		Q9BUY5	ENSG00000130818	1	1		b		ZNF426	ZNF426	2.3.3.0.165	ZNF426	ZNF426	6		PTHR24377	SF799	ZINC_FINGER_PROTEIN_426
ZNF429	zinc_finger_protein_429		Q86V71	ENSG00000197013	1	1		c	ZNF429	ZNF429	ZNF429	2.3.3.57.1	ZNF429	ZNF429	7		PTHR24377	SF896	ZINC_FINGER_PROTEIN_429
ZNF43	zinc_finger_protein_43		P17038	ENSG00000198521	1	1	ZNF43	a	ZNF43	ZNF43	ZNF43	2.3.3.0.230	ZNF43	ZNF43	7		PTHR24376	SF167	ZINC_FINGER_PROTEIN_43-RELATED
ZNF430	zinc_finger_protein_430		Q9H8G1	ENSG00000118620	1	1		b		ZNF430	ZNF430	2.3.3.57.1	ZNF430	ZNF430	6		PTHR24384	SF131	ZINC_FINGER_PROTEIN_430
ZNF431	zinc_finger_protein_431		Q8TF32	ENSG00000196705	1	1		b	ZNF431	ZNF431	ZNF431	2.3.3.57.1	ZNF431	ZNF431	7		PTHR24384	SF88	ZINC_FINGER_PROTEIN_138-RELATED
ZNF432	zinc_finger_protein_432		O94892	ENSG00000256087	1	1		b		ZNF432	ZNF432	2.3.3.75.1	ZNF432	ZNF432	6		PTHR24377	SF165	ZINC_FINGER_PROTEIN_432
ZNF433	zinc_finger_protein_433		Q8N7K0	ENSG00000197647	1	1		b	ZNF433	ZNF433	ZNF433	2.3.3.0.224	ZNF433	ZNF433	7		PTHR24379	SF94	ZINC_FINGER_PROTEIN_433
ZNF436	zinc_finger_protein_436		Q9C0F3	ENSG00000125945	1	1		b		ZNF436	ZNF436	2.3.3.58.3	ZNF436	ZNF436	6		PTHR24381		
ZNF438	zinc_finger_protein_438		Q7Z4V0	ENSG00000183621	1	1	ZNF438	b		ZNF438	ZNF438	2.3.4.0.22	ZNF438	ZNF438	6		PTHR24393	SF34	ZINC_FINGER_PROTEIN_438
ZNF439	zinc_finger_protein_439		Q8NDP4	ENSG00000171291	1	1	ZNF439	b		ZNF439	ZNF439	2.3.3.33.8	ZNF439	ZNF439	6		PTHR24381		
ZNF44	zinc_finger_protein_44		P15621	ENSG00000197857	1	1	ZNF44	a		ZNF44	ZNF44	2.3.3.74.3	ZNF44	ZNF44	6		PTHR24379	SF98	ZINC_FINGER_PROTEIN_44
ZNF440	zinc_finger_protein_440		Q8IYI8	ENSG00000171295	1	1	ZNF440	b		ZNF440	ZNF440	2.3.3.33.9	ZNF440	ZNF440	6		PTHR24381	SF311	ZINC_FINGER_PROTEIN_440
ZNF441	zinc_finger_protein_441		Q8N8Z8	ENSG00000197044	1	1		b		ZNF441	ZNF441	2.3.3.0.221	ZNF441	ZNF441	6		PTHR24379	SF22	ZINC_FINGER_PROTEIN_441
ZNF442	zinc_finger_protein_442		Q9H7R0	ENSG00000198342	1	1		b		ZNF442	ZNF442	2.3.3.74.1	ZNF442	ZNF442	6		PTHR24379	SF6	ZINC_FINGER_PROTEIN_442
ZNF443	zinc_finger_protein_443		Q9Y2A4	ENSG00000180855	1	1		b		ZNF443	ZNF443	2.3.3.74.5	ZNF443	ZNF443	6		PTHR24379	SF68	ZINC_FINGER_PROTEIN_443
ZNF444	zinc_finger_protein_444		Q8N0Y2	ENSG00000167685	1	1	ZNF444	a		ZNF444	ZNF444	2.3.3.0.24	ZNF444	ZNF444	6	ZNF444	PTHR23226	SF150	ZINC_FINGER_PROTEIN_444
ZNF445	zinc_finger_protein_445		P59923	ENSG00000185219	1	1	ZNF445	b		ZNF445	ZNF445	2.3.4.0.53	ZNF445	ZNF445	6		PTHR24376	SF38	ZINC_FINGER_PROTEIN_445
ZNF446	zinc_finger_protein_446		Q9NWS9	ENSG00000083838	1	1	ZNF446	b		ZNF446	ZNF446	2.3.2.3.4	ZNF446	ZNF446	6		PTHR23226	SF210	ZINC_FINGER_PROTEIN_446
ZNF449	zinc_finger_protein_449		Q6P9G9	ENSG00000173275	1	1	ZNF449	b		ZNF449	ZNF449	2.3.3.0.41	ZNF449	ZNF449	6	ZNF449	PTHR23226	SF4	ZINC_FINGER_PROTEIN_449
ZNF45	zinc_finger_protein_45		Q02386	ENSG00000124459	1	1	ZNF45	b	ZNF45	ZNF45	ZNF45	2.3.3.47.10	ZNF45	ZNF45	7		PTHR24377	SF830	ZINC_FINGER_PROTEIN_45
ZNF454	zinc_finger_protein_454		Q8N9F8	ENSG00000178187	1	1		b		ZNF454	ZNF454	2.3.3.0.125	ZNF454	ZNF454	6	ZNF454	PTHR24377	SF893	ZINC_FINGER_PROTEIN_454
ZNF460	zinc_finger_protein_460		Q14592	ENSG00000197714	1	1		b		ZNF460	ZNF460	2.3.3.54.1	ZNF460	ZNF460	6	ZNF460	PTHR24384	SF15	ZINC_FINGER_PROTEIN_460
ZNF461	zinc_finger_protein_461		Q8TAF7	ENSG00000197808	1	1		b		ZNF461	ZNF461	2.3.3.0.143	ZNF461	ZNF461	6		PTHR24377	SF277	ZINC_FINGER_PROTEIN_461
ZNF467	zinc_finger_protein_467		Q7Z7K2	ENSG00000181444	1	1		b	ZNF467	ZNF467	ZNF467	2.3.4.0.45	ZNF467	ZNF467	7		PTHR24377	SF891	ZINC_FINGER_PROTEIN_467
ZNF468	zinc_finger_protein_468		Q5VIY5	ENSG00000204604	1	1		b	ZNF468	ZNF468	ZNF468	2.3.3.27.4	ZNF468	ZNF468	7		PTHR24377	SF875	ZINC_FINGER_PROTEIN_468
ZNF469	zinc_finger_protein_469		Q96JG9	ENSG00000225614	1	1				ZNF469	ZNF469	2.3.4.0.5	ZNF469	ZNF469	5		PTHR21465	SF2	ZINC_FINGER_PROTEIN_469
ZNF470	zinc_finger_protein_470		Q6ECI4	ENSG00000197016	1	1		b	ZNF470	ZNF470	ZNF470		ZNF470	ZNF470	6		PTHR24377	SF282	ZINC_FINGER_PROTEIN_470
ZNF471	zinc_finger_protein_471		Q9BX82	ENSG00000196263	1	1		b		ZNF471	ZNF471	2.3.3.0.191	ZNF471	ZNF471	6		PTHR24377	SF777	ZINC_FINGER_PROTEIN_471
ZNF473	zinc_finger_protein_473		Q8WTR7	ENSG00000142528	1	1		b		ZNF473	ZNF473		ZNF473	ZNF473	5		PTHR24376	SF93	ZINC_FINGER_PROTEIN_473
ZNF479	zinc_finger_protein_479		Q96JC4	ENSG00000185177	1	1		b		ZNF479	ZNF479	2.3.3.57.1	ZNF479	ZNF479	6		PTHR24384	SF179	ZINC_FINGER_PROTEIN_479
ZNF48	zinc_finger_protein_48		Q96MX3	ENSG00000180035	1	1		b		ZNF48	ZNF48	2.3.4.0.48	ZNF48	ZNF48	6		PTHR24376	SF73	ZINC_FINGER_PROTEIN_48
ZNF480	zinc_finger_protein_480		Q8WV37	ENSG00000198464	1	1		b		ZNF480	ZNF480	2.3.3.0.134	ZNF480	ZNF480	6		PTHR24377	SF187	ZINC_FINGER_PROTEIN_480
ZNF483	zinc_finger_protein_483		Q8TF39	ENSG00000173258	1	1	ZNF483	b		ZNF483	ZNF483	2.3.3.0.101	ZNF483	ZNF483	6		PTHR24377	SF425	ZINC_FINGER_PROTEIN_483
ZNF484	zinc_finger_protein_484		Q5JVG2	ENSG00000127081	1	1		b		ZNF484	ZNF484	2.3.3.68.4	ZNF484	ZNF484	6		PTHR24376	SF48	ZINC_FINGER_PROTEIN_484
ZNF485	zinc_finger_protein_485		Q8NCK3	ENSG00000198298	1	1		b		ZNF485	ZNF485	2.3.3.0.113	ZNF485	ZNF485	6		PTHR24393	SF79	ZINC_FINGER_PROTEIN_485
ZNF486	zinc_finger_protein_486		Q96H40	ENSG00000256229	1	1		b		ZNF486	ZNF486		ZNF486	ZNF486	5		PTHR24384	SF95	ZINC_FINGER_PROTEIN_486
ZNF487	zinc_finger_protein_487		B1APH4	ENSG00000243660	1	1	ZNF487	c		ZNF487	ZNF487	2.3.2.2.1	ZNF487	ZNF487	6		PTHR24381	SF125	ZINC_FINGER_PROTEIN_674-RELATED
ZNF490	zinc_finger_protein_490		Q9ULM2	ENSG00000188033	1	1		b		ZNF490	ZNF490	2.3.3.33.11	ZNF490	ZNF490	6		PTHR24377	SF16	ZINC_FINGER_PROTEIN_490
ZNF491	zinc_finger_protein_491		Q8N8L2	ENSG00000177599	1	1	ZNF491	b		ZNF491	ZNF491	2.3.3.33.2	ZNF491	ZNF491	6		PTHR24381		
ZNF492	zinc_finger_protein_492		Q9P255	ENSG00000229676	1	1			ZNF492	ZNF492	ZNF492	2.3.3.57.1	ZNF492	ZNF492	6		PTHR24384	SF108	ZINC_FINGER_PROTEIN_492-RELATED
ZNF493	zinc_finger_protein_493		Q6ZR52	ENSG00000196268	1	1		b		ZNF493	ZNF493	2.3.3.0.229	ZNF493	ZNF493	6		PTHR24376	SF120	ZINC_FINGER_PROTEIN_493
ZNF496	zinc_finger_protein_496		Q96IT1	ENSG00000162714	1	1	ZNF496	b	ZNF496	ZNF496	ZNF496	2.3.3.0.3	ZNF496	ZNF496	7		PTHR23226	SF180	ZINC_FINGER_PROTEIN_496
ZNF497	zinc_finger_protein_497		Q6ZNH5	ENSG00000174586	1	1	ZNF497	b		ZNF497	ZNF497	2.3.3.0.168	ZNF497	ZNF497	6		PTHR24404	SF50	ZINC_FINGER_PROTEIN_497
ZNF500	zinc_finger_protein_500		O60304	ENSG00000103199	1	1	ZNF500	b		ZNF500	ZNF500	2.3.3.19.1	ZNF500	ZNF500	6		PTHR23226	SF74	ZINC_FINGER_PROTEIN_500
ZNF501	zinc_finger_protein_501		Q96CX3	ENSG00000186446	1	1	ZNF501	b		ZNF501	ZNF501	2.3.3.0.87	ZNF501	ZNF501	6	ZNF501	PTHR24404	SF41	ZINC_FINGER_PROTEIN_501
ZNF502	zinc_finger_protein_502		Q8TBZ5	ENSG00000196653	1	1		b		ZNF502	ZNF502	2.3.3.0.175	ZNF502	ZNF502	6		PTHR24384	SF210	ZINC_FINGER_PROTEIN_502
ZNF506	zinc_finger_protein_506		Q5JVG8	ENSG00000081665	1	1		c		ZNF506	ZNF506	2.3.3.0.64	ZNF506	ZNF506	6		PTHR24384	SF180	ZINC_FINGER_PROTEIN_506-RELATED
ZNF510	zinc_finger_protein_510		Q9Y2H8	ENSG00000081386	1	1		b		ZNF510	ZNF510	2.3.4.25.6	ZNF510	ZNF510	6		PTHR24392	SF21	ZINC_FINGER_PROTEIN_510
ZNF511	zinc_finger_protein_511		Q8NB15	ENSG00000198546	1	1	ZNF511	b		ZNF511	ZNF511	2.3.2.4.2	ZNF511	ZNF511	6		PTHR21354	SF2	ZINC_FINGER_PROTEIN_511
ZNF512	zinc_finger_protein_512		Q96ME7	ENSG00000243943	1	1		b		ZNF512	ZNF512	2.3.4.10.1	ZNF512	ZNF512	6		PTHR22979	SF2	ZINC_FINGER_PROTEIN_512
ZNF512B	zinc_finger_protein_512B		Q96KM6	ENSG00000196700	1	1			ZNF512B	ZNF512B	ZNF512B	2.3.4.10.2	ZNF512B	ZNF512B	6		PTHR22979	SF3	ZINC_FINGER_PROTEIN_512B
ZNF514	zinc_finger_protein_514		Q96K75	ENSG00000144026	1	1		b		ZNF514	ZNF514	2.3.3.0.46	ZNF514	ZNF514	6		PTHR24377	SF908	ZINC_FINGER_PROTEIN_514
ZNF516	zinc_finger_protein_516		Q92618	ENSG00000101493	1	1		b		ZNF516	ZNF516	2.3.4.2.3	ZNF516	ZNF516	6		PTHR45925	SF3	ZINC_FINGER_PROTEIN_516
ZNF517	zinc_finger_protein_517		Q6ZMY9	ENSG00000197363	1	1		b	ZNF517	ZNF517	ZNF517	2.3.3.0.96	ZNF517	ZNF517	7		PTHR24379	SF20	ZINC_FINGER_PROTEIN_517
ZNF518A	zinc_finger_protein_518A		Q6AHZ1	ENSG00000177853	1	1		b		ZNF518A	ZNF518A	2.3.4.18.1	ZNF518A	ZNF518A	6		PTHR24392	SF39	ZINC_FINGER_PROTEIN_518A
ZNF518B	zinc_finger_protein_518B		Q9C0D4	ENSG00000178163	1	1		c		ZNF518B	ZNF518B	2.3.4.18.2	ZNF518B	ZNF518B	6		PTHR24392	SF41	ZINC_FINGER_PROTEIN_518B
ZNF519	zinc_finger_protein_519		Q8TB69	ENSG00000175322	1	1		b		ZNF519	ZNF519	2.3.4.0.68	ZNF519	ZNF519	6		PTHR24384	SF126	ZINC_FINGER_PROTEIN_519
ZNF521	zinc_finger_protein_521		Q96K83	ENSG00000198795	1	1		b		ZNF521	ZNF521	2.3.4.12.2	ZNF521	ZNF521	6		PTHR24376	SF84	ZINC_FINGER_PROTEIN_521
ZNF524	zinc_finger_protein_524		Q96C55	ENSG00000171443	1	1	ZNF524	b		ZNF524	ZNF524	2.3.3.15.1	ZNF524	ZNF524	6	ZNF524	PTHR24390	SF109	ZINC_FINGER_PROTEIN_524
ZNF525	zinc_finger_protein_525		Q8N782	ENSG00000203326	1	1				ZNF525		2.3.3.27.1	ZNF525	ZNF525	4		PTHR23226	SF257	ZINC_FINGER_PROTEIN_525
ZNF526	zinc_finger_protein_526		Q8TF50	ENSG00000167625	1	1		b		ZNF526	ZNF526	2.3.4.22.1	ZNF526	ZNF526	6		PTHR24377	SF770	ZINC_FINGER_PROTEIN_526
ZNF527	zinc_finger_protein_527		Q8NB42	ENSG00000189164	1	1		b		ZNF527	ZNF527		ZNF527	ZNF527	5		PTHR24377	SF620	ZINC_FINGER_PROTEIN_527
ZNF528	zinc_finger_protein_528		Q3MIS6	ENSG00000167555	1	1				ZNF528	ZNF528	2.3.3.0.189	ZNF528	ZNF528	5		PTHR24377		
ZNF529	zinc_finger_protein_529		Q6P280	ENSG00000186020	1	1	ZNF529	b		ZNF529	ZNF529	2.3.3.0.145	ZNF529	ZNF529	6		PTHR24381	SF309	ZINC_FINGER_PROTEIN_529
ZNF530	zinc_finger_protein_530		Q6P9A1	ENSG00000183647	1	1		b		ZNF530	ZNF530	2.3.3.0.153	ZNF530	ZNF530	6		PTHR24377	SF616	ZINC_FINGER_PROTEIN_530
ZNF532	zinc_finger_protein_532		Q9HCE3	ENSG00000074657	1	1		b		ZNF532	ZNF532	2.3.4.9.1	ZNF532	ZNF532	6		PTHR47222	SF3	ZINC_FINGER_PROTEIN_532
ZNF534	zinc_finger_protein_534		Q76KX8	ENSG00000198633	1	1		c		ZNF534	ZNF534	2.3.3.0.207	ZNF534	ZNF534	6		PTHR24377	SF854	ZINC_FINGER_PROTEIN_534
ZNF536	zinc_finger_protein_536		O15090	ENSG00000198597	1	1	ZNF536	b	ZNF536	ZNF536	ZNF536	2.3.4.2.2	ZNF536	ZNF536	7		PTHR45925	SF2	ZINC_FINGER_PROTEIN_536
ZNF540	zinc_finger_protein_540		Q8NDQ6	ENSG00000171817	1	1		b		ZNF540	ZNF540	2.3.3.67.4	ZNF540	ZNF540	6		PTHR24377	SF138	ZINC_FINGER_PROTEIN_540
ZNF542P	zinc_finger_protein_542,_pseudogene	pseudogene	Q5EBM4	ENSG00000240225	1	1		b			ZNF542P				2		PTHR24377	SF829	ZINC_FINGER_PROTEIN_542-RELATED
ZNF543	zinc_finger_protein_543		Q08ER8	ENSG00000178229	1	1		b		ZNF543	ZNF543	2.3.3.54.4	ZNF543	ZNF543	6		PTHR24377	SF812	ZINC_FINGER_PROTEIN_543
ZNF544	zinc_finger_protein_544		Q6NX49	ENSG00000198131	1	1		b		ZNF544	ZNF544	2.3.3.58.2	ZNF544	ZNF544	6		PTHR24376	SF173	ZINC_FINGER_PROTEIN_544
ZNF546	zinc_finger_protein_546		Q86UE3	ENSG00000187187	1	1		b		ZNF546	ZNF546	2.3.3.67.10	ZNF546	ZNF546	6		PTHR24377	SF142	ZINC_FINGER_PROTEIN_546
ZNF547	zinc_finger_protein_547		Q8IVP9	ENSG00000152433	1	1		b		ZNF547	ZNF547	2.3.3.0.97	ZNF547	ZNF547	6		PTHR24377	SF808	ZINC_FINGER_PROTEIN_547
ZNF548	zinc_finger_protein_548		Q8NEK5	ENSG00000188785	1	1		b		ZNF548	ZNF548	2.3.3.53.1	ZNF548	ZNF548	6		PTHR24377	SF730	ZINC_FINGER_PROTEIN_548
ZNF549	zinc_finger_protein_549		Q6P9A3	ENSG00000121406	1	1		b		ZNF549	ZNF549	2.3.3.0.180	ZNF549	ZNF549	6		PTHR24377	SF690	ZINC_FINGER_PROTEIN_549
ZNF550	zinc_finger_protein_550		Q7Z398	ENSG00000251369	1	1	ZNF550	b		ZNF550	ZNF550	2.3.3.0.71	ZNF550	ZNF550	6		PTHR24381	SF154	ZINC_FINGER_PROTEIN_550
ZNF551	zinc_finger_protein_551		Q7Z340	ENSG00000204519	1	1	ZNF551	a		ZNF551		2.3.3.0.153	ZNF551	ZNF551	5		PTHR24377	SF716	ZINC_FINGER_PROTEIN_551
ZNF552	zinc_finger_protein_552		Q9H707	ENSG00000178935	1	1		b		ZNF552	ZNF552	2.3.4.1.3	ZNF552	ZNF552	6		PTHR24377	SF702	ZINC_FINGER_PROTEIN_552
ZNF554	zinc_finger_protein_554		Q86TJ5	ENSG00000172006	1	1	ZNF554	b		ZNF554	ZNF554	2.3.3.0.63	ZNF554	ZNF554	6		PTHR24381	SF56	ZINC_FINGER_PROTEIN_554
ZNF555	zinc_finger_protein_555		Q8NEP9	ENSG00000186300	1	1	ZNF555	b		ZNF555	ZNF555	2.3.3.33.19	ZNF555	ZNF555	6		PTHR24381	SF320	ZINC_FINGER_PROTEIN_555
ZNF556	zinc_finger_protein_556		Q9HAH1	ENSG00000172000	1	1	ZNF556	b		ZNF556	ZNF556	2.3.3.0.80	ZNF556	ZNF556	6		PTHR24381	SF160	ZINC_FINGER_PROTEIN_556
ZNF557	zinc_finger_protein_557		Q8N988	ENSG00000130544	1	1	ZNF557	b		ZNF557	ZNF557	2.3.3.43.2	ZNF557	ZNF557	6		PTHR24381	SF145	ZINC_FINGER_PROTEIN_557
ZNF558	zinc_finger_protein_558		Q96NG5	ENSG00000167785	1	1	ZNF558	b		ZNF558	ZNF558	2.3.3.43.1	ZNF558	ZNF558	6		PTHR24381	SF80	ZINC_FINGER_PROTEIN_558
ZNF559	zinc_finger_protein_559		Q9BR84	ENSG00000188321	1	1	ZNF559	b		ZNF559	ZNF559	2.3.3.45.4	ZNF559	ZNF559	6		PTHR24381	SF77	ZINC_FINGER_PROTEIN_559
ZNF56	zinc_finger_protein_56		Q15929	ENSG00000267419	1	0	ZNF56	b		ZNF56	ZNF56				3		PTHR24381	SF348	ZINC_FINGER_PROTEIN_56-RELATED
ZNF560	zinc_finger_protein_560		Q96MR9	ENSG00000198028	1	1	ZNF560	b		ZNF560	ZNF560	2.3.3.0.177	ZNF560	ZNF560	6		PTHR24381	SF44	ZINC_FINGER_PROTEIN_560
ZNF561	zinc_finger_protein_561		Q8N587	ENSG00000171469	1	1		b		ZNF561	ZNF561	2.3.3.45.3	ZNF561	ZNF561	6		PTHR24377	SF817	ZINC_FINGER_PROTEIN_561
ZNF562	zinc_finger_protein_562		Q6V9R5	ENSG00000171466	1	1		b		ZNF562	ZNF562	2.3.3.45.1	ZNF562	ZNF562	6		PTHR24384	SF222	ZINC_FINGER_PROTEIN_562
ZNF563	zinc_finger_protein_563		Q8TA94	ENSG00000188868	1	1		b		ZNF563	ZNF563	2.3.3.33.12	ZNF563	ZNF563	6		PTHR24379	SF14	ZINC_FINGER_PROTEIN_563
ZNF564	zinc_finger_protein_564		Q8TBZ8	ENSG00000249709	1	1	ZNF564	b		ZNF564	ZNF564	2.3.3.33.16	ZNF564	ZNF564	6		PTHR24404	SF10	ZINC_FINGER_PROTEIN_564
ZNF565	zinc_finger_protein_565		Q8N9K5	ENSG00000196357	1	1		b		ZNF565	ZNF565	2.3.3.0.146	ZNF565	ZNF565	6		PTHR24377	SF70	ZINC_FINGER_PROTEIN_565
ZNF566	zinc_finger_protein_566		Q969W8	ENSG00000186017	1	1	ZNF566	b		ZNF566	ZNF566	2.3.3.35.3	ZNF566	ZNF566	6		PTHR24381	SF57	ZINC_FINGER_PROTEIN_566
ZNF567	zinc_finger_protein_567		Q8N184	ENSG00000189042	1	1	ZNF567	b		ZNF567	ZNF567	2.3.3.69.4	ZNF567	ZNF567	6		PTHR24404	SF72	ZINC_FINGER_PROTEIN_567
ZNF568	zinc_finger_protein_568		Q3ZCX4	ENSG00000198453	1	1		b		ZNF568	ZNF568	2.3.3.62.3	ZNF568	ZNF568	6		PTHR24377	SF372	ZINC_FINGER_PROTEIN_568
ZNF569	zinc_finger_protein_569		Q5MCW4	ENSG00000196437	1	1		b		ZNF569	ZNF569	2.3.3.0.215	ZNF569	ZNF569	6		PTHR24377	SF707	ZINC_FINGER_PROTEIN_569
ZNF57	zinc_finger_protein_57		Q68EA5	ENSG00000171970	1	1		b		ZNF57	ZNF57	2.3.3.33.13	ZNF57	ZNF57	6		PTHR24379	SF9	ZINC_FINGER_PROTEIN_57
ZNF570	zinc_finger_protein_570		Q96NI8	ENSG00000171827	1	1		b		ZNF570	ZNF570	2.3.3.31.3	ZNF570	ZNF570	6		PTHR24377	SF720	ZINC_FINGER_PROTEIN_570
ZNF571	zinc_finger_protein_571		Q7Z3V5	ENSG00000180479	1	1		b		ZNF571	ZNF571	2.3.3.67.4	ZNF571	ZNF571	6		PTHR24377	SF141	ZINC_FINGER_PROTEIN_571
ZNF572	zinc_finger_protein_572		Q7Z3I7	ENSG00000180938	1	1		b		ZNF572	ZNF572	2.3.3.58.4	ZNF572	ZNF572	6		PTHR24399	SF9	ZINC_FINGER_PROTEIN_572
ZNF573	zinc_finger_protein_573		Q86YE8	ENSG00000189144	1	1		b		ZNF573	ZNF573		ZNF573	ZNF573	5		PTHR24377	SF886	ZINC_FINGER_PROTEIN_573
ZNF574	zinc_finger_protein_574		Q6ZN55	ENSG00000105732	1	1		b		ZNF574	ZNF574	2.3.4.22.2	ZNF574	ZNF574	6		PTHR24376	SF69	ZINC_FINGER_PROTEIN_574
ZNF575	zinc_finger_protein_575		Q86XF7	ENSG00000176472	1	1		b		ZNF575	ZNF575	2.3.3.0.37	ZNF575	ZNF575	6		PTHR23226	SF206	ZINC_FINGER_PROTEIN_575
ZNF576	zinc_finger_protein_576		Q9H609	ENSG00000124444	1	1		b		ZNF576	ZNF576	2.3.3.0.30	ZNF576	ZNF576	6		PTHR24408	SF46	ZINC_FINGER_PROTEIN_576
ZNF577	zinc_finger_protein_577		Q9BSK1	ENSG00000161551	1	1		b		ZNF577	ZNF577	2.3.3.30.2	ZNF577	ZNF577	6		PTHR24377	SF900	ZINC_FINGER_PROTEIN_577
ZNF578	zinc_finger_protein_578		Q96N58	ENSG00000258405	1	1				ZNF578	ZNF578		ZNF578	ZNF578	4		PTHR24377	SF859	ZINC_FINGER_PROTEIN_578
ZNF579	zinc_finger_protein_579		Q8NAF0	ENSG00000218891	1	1		b		ZNF579	ZNF579	2.3.4.0.14	ZNF579	ZNF579	6		PTHR24383	SF14	ZINC_FINGER_PROTEIN_579
ZNF580	zinc_finger_protein_580		Q9UK33	ENSG00000213015	1	1	ZNF580	b	ZNF580	ZNF580	ZNF580	2.3.2.4.3	ZNF580	ZNF580	7	ZNF580	PTHR24393	SF54	ZINC_FINGER_PROTEIN_580
ZNF581	zinc_finger_protein_581		Q9P0T4	ENSG00000171425	1	1		b		ZNF581	ZNF581	2.3.3.15.2	ZNF581	ZNF581	6		PTHR24390	SF76	ZINC_FINGER_PROTEIN_581
ZNF582	zinc_finger_protein_582		Q96NG8	ENSG00000018869	1	1	ZNF582	b		ZNF582	ZNF582	2.3.3.35.7	ZNF582	ZNF582	6		PTHR24381		
ZNF583	zinc_finger_protein_583		Q96ND8	ENSG00000198440	1	1		b		ZNF583	ZNF583	2.3.3.31.4	ZNF583	ZNF583	6		PTHR24377	SF863	ZINC_FINGER_PROTEIN_583
ZNF584	zinc_finger_protein_584		Q8IVC4	ENSG00000171574	1	1		b		ZNF584	ZNF584	2.3.3.0.67	ZNF584	ZNF584	6		PTHR24377	SF611	ZINC_FINGER_PROTEIN_584
ZNF585A	zinc_finger_protein_585A		Q6P3V2	ENSG00000196967	1	1		b		ZNF585A	ZNF585A	2.3.3.68.6	ZNF585A	ZNF585A	6		PTHR24376	SF165	ZINC_FINGER_PROTEIN_585A
ZNF585B	zinc_finger_protein_585B		Q52M93	ENSG00000245680	1	1		b		ZNF585B	ZNF585B	2.3.3.68	ZNF585B	ZNF585B	6		PTHR24376	SF97	ZINC_FINGER_PROTEIN_585B
ZNF586	zinc_finger_protein_586		Q9NXT0	ENSG00000083828	1	1		b		ZNF586	ZNF586	2.3.3.0.115	ZNF586	ZNF586	6		PTHR24377	SF708	ZINC_FINGER_PROTEIN_586
ZNF587	zinc_finger_protein_587		Q96SQ5	ENSG00000198466	1	1		b		ZNF587	ZNF587	2.3.4.1.2	ZNF587	ZNF587	6		PTHR24377		
ZNF587B	zinc_finger_protein_587B		E7ETH6	ENSG00000269343	1	1				ZNF587B			ZNF587B	ZNF587B	3		PTHR24381	SF327	ZINC_FINGER_PROTEIN_436-RELATED
ZNF589	zinc_finger_protein_589		Q86UQ0	ENSG00000164048	1	1	ZNF589	b	ZNF589	ZNF589	ZNF589	2.3.3.0.12	ZNF589	ZNF589	7		PTHR24381	SF343	ZINC_FINGER_PROTEIN_589
ZNF592	zinc_finger_protein_592		Q92610	ENSG00000166716	1	1		b	ZNF592	ZNF592	ZNF592	2.3.4.9.2	ZNF592	ZNF592	7		PTHR47222	SF1	ZINC_FINGER_PROTEIN_592
ZNF594	zinc_finger_protein_594		Q96JF6	ENSG00000180626	1	1		c		ZNF594	ZNF594	2.3.3.0.232	ZNF594	ZNF594	6		PTHR24376		
ZNF595	zinc_finger_protein_595		Q8IYB9	ENSG00000272602	1	1		b		ZNF595	ZNF595	2.3.3.77.1	ZNF595	ZNF595	6		PTHR24377	SF303	ZINC_FINGER_PROTEIN_595
ZNF596	zinc_finger_protein_596		Q8TC21	ENSG00000172748	1	1		b		ZNF596	ZNF596	2.3.3.0.106	ZNF596	ZNF596	6		PTHR24381	SF30	ZINC_FINGER_PROTEIN_596
ZNF597	zinc_finger_protein_597		Q96LX8	ENSG00000167981	1	1	ZNF597	b		ZNF597	ZNF597	2.3.4.0.30	ZNF597	ZNF597	6	ZNF597	PTHR24393	SF100	ZINC_FINGER_PROTEIN_597
ZNF599	zinc_finger_protein_599		Q96NL3	ENSG00000153896	1	1	ZNF599	b		ZNF599	ZNF599	2.3.3.54.5	ZNF599	ZNF599	6		PTHR24381	SF20	ZINC_FINGER_PROTEIN_599
ZNF600	zinc_finger_protein_600		Q6ZNG1	ENSG00000189190	1	1		b		ZNF600	ZNF600	2.3.3.72.4	ZNF600	ZNF600	6		PTHR24376	SF85	ZINC_FINGER_PROTEIN_600-RELATED
ZNF605	zinc_finger_protein_605		Q86T29	ENSG00000196458	1	1		b		ZNF605	ZNF605	2.3.3.71.2	ZNF605	ZNF605	6		PTHR24377	SF120	ZINC_FINGER_PROTEIN_605
ZNF606	zinc_finger_protein_606		Q8WXB4	ENSG00000166704	1	1		b		ZNF606	ZNF606	2.3.4.0.67	ZNF606	ZNF606	6		PTHR24376	SF59	ZINC_FINGER_PROTEIN_606
